Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary Source,Hourly,Min Salary,Max Salary,Average Salary,Seniority,Job Function,Company Age,SQL,Tableau,Excel
Senior Digital Data Analyst,Be one of the first to Apply!,4.0,Other,Sydney,501 to 1000 Employees,2007,Company - Private,Other,Other,$100 to $500 million (USD),Glassdoor Est,0,60.0,70.0,65.0,Senior,Analyst,14,0,0,0
Data Warehouse Analyst,"The Company
Our client is a leading Australian financial services company that prides itself on providing a workplace where the best people come to do their best work. Ongoing growth has created an exciting opportunity for your skills as a data analyst, and your rewards include a vibrant workplace with a strong sense of community and inclusion, and a career where you can make a difference by collaborating with, and learning from, the best.
The Role
You will be responsible for delivery of data analysis, reports, and dashboards to support business operations through the company. Your technical skill will apply throughout the entire business intelligence development life cycle though with a primary focus on data analysis, report development and user support.",3.8,Robert Half,Sydney,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,1,151.35999999999999,180.6,165.98,Mid,Analyst,73,0,0,0
SQL Data Analyst,"Nationally recognized brand is currently seeking a Data Analyst for a permanent opportunity in their business.

SQL will be the core of what you do, so they need you to be an expert in that space.
Bonus expertise would be SSIS, SSRS, SSAS, Power BI, DAX, Azure.
You will be working as part of a strong data engineering team, so will you naturally learn these bonus skills as you go anyway.
Skill set / Experience needed -",3.8,Robert Half,Sydney,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,0,110.0,110.0,110.0,Mid,Analyst,73,1,0,0
Analyst | Data & Analytics,Be one of the first to Apply!,-1.0,Disseny 360,Hobart,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,40.0,58.0,49.0,Mid,Analyst,2022,0,0,0
Sea-Ice Data Analyst,"Branch: Chief Scientist
Section: Antarctic Climate System
Executive Level 1 – Ongoing
Salary: $110,092 p.a. – $118,412 p.a.
Duties
As a Sea-Ice Data Analyst you will play a lead role in the acquisition and specialised processing of a range of data streams from:
satellite sensors eg synthetic aperture radar (SAR), optical and thermal infrared",-1.0,Australian Antarctic Division,Australia,Unknown,-1,Company - Private,Unknown,Unknown,Unknown,Employer Provided Salary,0,110.0,118.0,114.0,Mid,Analyst,2022,0,0,0
Data Analyst - amaysim - perm or 6-12 mth FTC,"About Us
At amaysim , it’s not just the customers that get all the Big Love – we make sure our people feel it too ! Our people are the staple of our culture and everything we do is driven by our four key values, with empathy at the heart of it all. We work hard and have fun in the process and are always looking at new ways to innovate and inspire whilst remaining true to our roots.

About the Role
We’re looking for a passionate analyst who has strong business acumen and a desire to fully engage and partner with our teams, driving some unique and successful commercial outcomes. The Data Analyst works with a wealth of data to provide detailed insights and recommendations to teams across the business, with a predominant focus on Marketing (CRM, Acquisition and Retail). Be a key part of the recently formed Project Churn Zero (PCZ) team, adding the analytical power to an agile and dynamic team tasked with driving down churn across the base. This role would suit someone who has worked with CRM and marketing teams, as well as product owners and portfolio managers in the past (either agency or brand side) – essentially where you’ve picked up or expanded your analytical outlook and acumen. It’s a collaborative environment and we want you to proactively own what needs to be done each day – pushing the limits and coming up with ideas to answer the challenges coming from our stakeholders.",3.9,Optus,Sydney,5001 to 10000 Employees,1992,Subsidiary or Business Segment,"Cable, Internet & Telephone Provider",Telecommunication,$2 to $5 billion (USD),Glassdoor Est,0,81.0,114.0,97.5,Mid,Analyst,29,0,0,0
Sea-Ice Data Analyst,"EL 1 - $110,092 - $118,412 per annum plus superannuation
Australian Antarctic Division
Hobart, TAS
Map and deliver end-to-end downloads, verification, storage and access of a wide range of environmental data and imagery for broad use in Earth System science.
Independently undertake basic validation and analysis in support of cutting edge climate-research projects, including high-end graphical presentations.
Lead or contribute to relevant research including presentations, publications, WWW portals and reports.


The Australian Antarctic Division (AAD) is part of the Commonwealth Department of Agriculture, Water and the Environment. As primary agency for Australia's Antarctic Program (AAP), the AAD is responsible for achieving the Australian Government's Antarctic goals. These goals are to:


The AAD also has responsibility for administering the Australian Antarctic Territory and the Territory of Heard and McDonald Islands.

The AAD Science Branch leads, conducts and supports a world class program of scientific research and environmental management, consistent with national priorities through the Australian Antarctic Science Strategic Plan. The branch provides research and advice to support Australia’s Antarctic policy objectives, including participation in the Antarctic Treaty system and other international committees, commissions and intergovernmental panels. It manages and administers the Australian Antarctic Science Program (including project requests, assessment, and reporting) and provides scientific and research advice to support regulatory and management decisions. The branch provides scientific advice for Antarctic capability projects, conducts impact assessments and develops strategies to address environmental legacies and undertakes targeted outreach promoting the value of Australian Antarctic science.

The Antarctic Climate Program investigates a range of Antarctic and Southern Ocean components of the climate system. Its team studies Antarctic atmosphere, sea ice, ice sheets and past climate using ice cores. The Antarctic Climate Program is well integrated within the Australian Antarctic Program Partnership at the University of Tasmania and holds links into the Australian Centre for Excellence in Antarctic Science, an Australian Research Council funded program.


The key duties of the role include, but are not limited to:






A relevant degree in climate, physical or computer science from an Australian tertiary institution, or a comparable overseas institution, or demonstrated equivalent experience.


that the successful applicant may be required to travel to the Antarctic and sub-Antarctic regions therefore they may be required to meet specific medical, adaptability and personal qualities requirements appropriate to working in those environments. In order to undertake travel to the Antarctic & sub-Antarctic regions they will need to:


The successful applicant must also:",3.5,Australian Department of the Environment,Hobart,501 to 1000 Employees,-1,Unknown,Government,Government,$50 to $100 million (USD),Employer Provided Salary,0,110.0,118.0,114.0,Mid,Analyst,2022,0,0,1
Data Analyst,"Data Analyst
Trading under Publicis Communications Australia
Salary: $75,000 - $90,000 package
Location: Sydney, Australia
Role Overview
Day-to-day, your role includes:
Conceptualising, delivering and communicating analytically-driven solutions centered around digital marketing to help drive results for our clients",3.7,Publicis Groupe,Pyrmont,10000+ Employees,1926,Company - Private,Advertising & Marketing,Business Service,$5 to $10 billion (USD),Employer Provided Salary,0,75.0,90.0,82.5,Mid,Analyst,95,0,0,0
Data Analyst,"Develop effective business intelligence and data warehouse solutions. Provide critical analysis of financial and non-financial information to achieve improvements in performance measures such as Revenue, cost reduction, time reduction and/or quality improvement across the business.
What’s the role?
Proactively deliver data-driven insights and recommendations through Tableau dashboards
Maintain & enhance existing financial models, financial data processes and dashboard reporting
Be an advocate for Tableau dashboards and continue to increase data literacy across Finance",2.8,News Corp Australia,Surry Hills,5001 to 10000 Employees,1923,Company - Public,Publishing,Media,Unknown,Glassdoor Est,0,79.0,94.0,86.5,Mid,Analyst,98,0,1,0
SQL Data Analyst,"About Infosys:

Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.





If your passion is to build solutions that really make a difference to enterprises, the community and your world, Infosys is the right place for you.









All aspects of employment at Infosys are based on merit, competence and performance. We are committed to embracing diversity and creating an inclusive environment for all employees. Infosys is proud to be an equal opportunity employer.

At Infosys, we recognize that everyone has individual requirements. If you are a person with disability, illness or injury and require adjustments to the recruitment and selection process, please contact our Recruitment team for adjustment only on Infosys_ta@infosys.com or include your preferred method of communication in email and someone will be in touch.

Please note in order to protect the interest of all parties involved in the recruitment process, Infosys does not accept any unsolicited resumes from third party vendors. In the absence of a signed agreement any submission will be deemed as non-binding and Infosys explicitly reserves the right to pursue and hire the submitted profile. All recruitment activity must be coordinated through the Talent Acquisition department.",3.8,Infosys,Sydney,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Glassdoor Est,0,100.0,105.0,102.5,Mid,Analyst,40,0,0,0
Reporting and Data Analyst,"Do you believe in the power of data? Want to use your data analysis and reporting skills to make an impact?
Ready to be part of a game-changing not for profit organisation, tackling a critical public health challenge?
If you have at least a couple of years’ experience in data analysis and sound financial/commercial acumen, please read on.

About this opportunity
It’s not often that a job like this comes along.",-1.0,Heart Talent Collective,Mosman,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,80.0,90.0,85.0,Mid,Analyst,2022,0,0,0
