Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,Be one of the first to Apply!,-1,In Marketing We Trust,Australia,-1,-1,-1,-1,-1,-1
Data Scientist - Actuarial,$95K - $108K (Glassdoor Est.),"Date: 13-Oct-2021

Location:
Sydney, NSW, AU

Department:Description:
Job Requisition ID: 18609

About Deloitte

Flexibility, opportunity and incredible experiences reward the hard work required to succeed at Deloitte. We champion and support our talented people in achieving their career goals and collectively celebrate success.

Join a high performing culture of talented people, who are highly motivated and passionate about building and implementing information based solutions. We are innovative and different because YOU are… we pride ourselves on our team of diverse, high performing Deloitte Professionals who are talented, supportive, inclusive and social - and who are at the heart of our success. Our aim is to ensure that all our people feel comfortable to bring their whole selves to work, and as a result, create a workplace that encourages the true spirit of 'And different'.

From day one at our firm you’ll be considered part of the Deloitte community and our development and career progression framework will help you develop the skills and capabilities you need to succeed - in every sense of the word. At Deloitte, we assume that you perform other roles within your life….you could be a student, a teacher, a passionate hobbyist and a caring family member. We recognise the importance of balance and embrace agility, understanding that this means different things to each and every one of our employees.

About the Team

We are a team of talented Actuaries, Data Scientists and Quants who love to use our unique blend of technical and commercial expertise. Coupling the power of data with our human-centred approach, we solve client problems with a deep appreciation of behavioural science. We provide clients with end-to-end quantitative solutions, from strategic advice, data management and modelling, to the final execution.

Working between our Business Algorithms team, you will have the opportunity to:

This role will provide deep statistical, mathematical and financial expertise to support the team’s core purpose of providing technical quantitative advice and analytics solutions to achieve the strategic business’ goals.

About you

To be considered for this role, critical to your success will be your knowledge and experience in:

What we will provide you

You will be trained in core technical skills, but also to be able to think creatively and innovatively. We will work to give you projects with a wide range of professionals across Deloitte, and learn first-hand how quantitative skillsets can be combined with other competencies to create a leading solution to a problem.

We offer great study support packages for relevant qualifications along with a range of technical and non-technical training opportunities.

We will also provide you with one of the strongest project management training available in the actuarial market.

Like many financial services’ roles, a significant portion of what we currently do today may not exist in 5-10 years’ time, and our focus on innovation and creative thinking will prepare you and your career to be part of that next-generation of Actuaries, Data Scientists and Quants.",3.9,Deloitte,Sydney,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$105K - $119K (Glassdoor Est.),Be one of the first to Apply!,4.3,REA Group,Sydney,501 to 1000 Employees,1995,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD)
Junior Data Scientist,-1,"Company Description

Nine is Australia’s largest locally owned media company with investments spanning television, video on demand, print, digital, and radio. Nine’s assets include the Nine Television Network, video on demand platform 9Now, talkback radio stations 2GB, 3AW, 4BC and 6PR, major mastheads such as The Sydney Morning Herald, The Age and Australian Financial Review, digital properties such as nine.com.au, 9Honey, Pedestrian.TV and CarAdvice, subscription video platform Stan, and majority investments in Domain and Future Women.

Job Description",3.6,Nine,North Sydney,1001 to 5000 Employees,2004,Company - Private,TV Broadcasting & Cable Network,Media,$1 to $2 billion (USD)
Analyst | Data & Analytics,Employer Provided Salary:$40K - $58K,Be one of the first to Apply!,-1,Disseny 360,Hobart,-1,-1,-1,-1,-1,-1
"Senior Data Scientist, ESG Innovation and Analytics",Employer Provided Salary:$83K - $230K,"The Role: Senior Data Scientist, ESG Innovation and Analytics
Grade: 12 (internal use only)
Location: London UK, New York, Boston US, Sydney, AU

The Role: S&P Global Trucost is a leader in ESG data and risk analysis, providing data, tools and insights to companies and financial institutions for the last 18 years in order to inform capital allocation to more sustainable business models and better communicate ESG performance to their stakeholders.
We are looking for an experienced Senior Data Scientist based in London to join our ESG Innovation and Analytics Team, part of S&P Global’s newly formed ESG Organization (Sustainable1). The role will focus on building and growing the team’s capabilities in data science with a strong focus on geospatial and big data analysis. The role provides an opportunity to work on a variety of cutting-edge projects in the field of sustainable finance.

In this role, you will be working across a diverse range of ESG issues covering climate change, ecosystems, biodiversity and more. With the support of the Head of Data Innovation you will lead the team’s work in this space.

S&P Global Trucost’s expertise is providing data leveraged analytics and insights on ESG performance so that businesses and investors can understand how to direct investments that create value and avoid risk. We’ve been informing companies, financial institutions, regulators and thought leaders since 2000. S&P Global Trucost’s carbon data underpins the S&P Global Carbon Efficient Index series selected by Government Pension Investment fund for Japan (GPIF) to serve as the benchmark for their ESG investment strategy. S&P Global Trucost’s clients also include DBS Bank, ERAFP, Fidelity, Future Fund, Goldman Sachs, HSBC, State Street Global Advisors and UBS among many others.

Our team is composed of experienced professionals driven to identify the transformative solutions of tomorrow. The business has a casual and friendly atmosphere with an entrepreneurial spirit. We value teamwork and it is crucial that you are a team player to be successful within our organization.

“I am looking for a seasoned Data Scientist with extensive experience in applying geospatial data science to lead on the development of new datasets and analytics to support business and investment decision-making. You must be passionate about using data to answer complex sustainability questions”.


S&P Global states that the anticipated base salary range for this position is $ 82,600 to $230,200 . Base salary ranges may vary by geographic location.
In addition to base compensation, this role is eligible for an annual incentive plan. This role is not eligible for additional compensation such as an annual incentive bonus or sales commission plan.
This role is eligible to receive additional S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires


Work with and coordinating interdisciplinary teams and projects at the intersection of large-scale datasets, geospatial analytics, remote sensing and machine learning

Conduct geospatial, remote sensing and other advanced statistical data analyses

Ensure high degree of confidence in the data products including but not limited to developing QA/QC strategies to ensure they are platform-ready

Manage key components of ongoing projects with internal and external partners, including but not limited to Technology Teams, Product Teams, Data Management Teams as well as external stakeholders or data providers

Clearly communicate insights and technical approaches verbally and in writing, including documenting analytical methodologies and other outputs appropriate for use by specialist as well as non-specialists

Work collaboratively with a diverse team across multiple locations to conduct analysis and ensure the quality of insights

Help develop reports, factsheets, blog posts, and other materials for general and specific audiences on the topics of focus

Provide feedback from the market to help shape S&P Global’s ESG product innovation roadmap


Strong quantitative background in geospatial data analytics and tools (e.g. geostatistics and related applications to GIS and remote sensing data, and GIS tools)

Experience in machine learning will be viewed favourably

Experience working with large geospatial and satellite datasets is highly desired

Strong proficiency in scientific programming languages (Python preferred)

Demonstrated skills in data and project management

Intellectual agility and comfort with working on a wide variety of environmental topics.

Excellent written and oral communication skills

Experience translating quantitative geospatial analytical information for non-specialist audiences

Ability to work independently and support a multi-disciplinary team, using independent judgment to plan, prioritize, and organize a diverse workload in a fast-paced environment

Demonstrated self-awareness, cultural competency and inclusivity, and ability to work with colleagues and stakeholders across diverse cultures and backgrounds

Self-motivated, organized, detail-oriented, with a positive, “can do” attitude


10+ years of relevant industry experience including leadership of complex projects

Proven experience managing analysis / data science teams

Experience working with GIS systems and geospatial data

MS degree in an analytical field (e.g. Statistics, Economics, Applied Math, Operations Research, Physics, and Data Science) or extensive track record as a data science practitioner.

Consulting skills, (e.g. ability to help define business problems, propose and gain alignment on solutions, and execute the implementation)

Able to convey complex information in an understandable, compelling, and persuasive manner to senior executives

Direct experience and the ability to use and coach others a range of modern data science, analytics, and reporting tools (e.g., Python, R, Dash, Hadoop, Spark, Alteryx, ESRI, SAS, SQL)

Prior financial services experience will be looked upon favourably but is not a prerequisite

S&P Global Corporate
At S&P Global, we don’t give you intelligence—we give you essential intelligence. The essential intelligence you need to make decisions with conviction. We’re the world’s foremost provider of credit ratings, benchmarks and analytics in the global capital and commodity markets. Our divisions include S&P Global Ratings, S&P Global Market Intelligence, S&P Dow Jones Indices and S&P Global Platts. For more information, visit www.spglobal.com .

S&P Global has a Securities Disclosure and Trading Policy (“the Policy”) that seeks to mitigate conflicts of interest by monitoring and placing restrictions on personal securities holding and trading. The Policy is designed to promote compliance with global regulations. In some Divisions, pursuant to the Policy’s requirements, candidates at S&P Global may be asked to disclose securities holdings. Some roles may include a trading prohibition and remediation of positions when there is an effective or potential conflict of interest. Employment at S&P Global is contingent upon compliance with the Policy.


S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, sex, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or other legally protected categories, subject to applicable law.
If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.


The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

#LI-NJ1

10 - Officials or Managers (EEO-2 Job Categories-United States of America), PDMGDV103.2 - Middle Management Tier II (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)

260364
2021-09-16
London, United Kingdom",4.1,S&P Global,Sydney,10000+ Employees,1888,Company - Public,Financial Analytics & Research,Finance,$5 to $10 billion (USD)
Data Scientist,$150K - $181K (Glassdoor Est.),Be one of the first to Apply!,3.7,Publicis Groupe,Pyrmont,10000+ Employees,1926,Company - Private,Advertising & Marketing,Business Service,$5 to $10 billion (USD)
Data Scientist,-1,"Company Description

Life at Nine.
Nine’s strategy is to create great content, distribute it broadly and engage audiences and advertisers.
We are Australia’s largest locally owned media company – the home of Australia’s most trusted and loved brands spanning News, Sport, Lifestyle, and Entertainment.
Nine’s assets include the Nine Network, major mastheads such as The Sydney Morning Herald, The Age and The Australian Financial Review, Nine Radio, digital properties such as nine.com.au, 9Now, 9Honey, Pedestrian.TV, subscription video platform Stan and majority investments in Domain Group and Drive.",3.6,Nine,North Sydney,1001 to 5000 Employees,2004,Company - Private,TV Broadcasting & Cable Network,Media,$1 to $2 billion (USD)
Data Scientist,Employer Provided Salary:$90K - $120K,"Responsibilities
Manage operational dashboards and reports
Campaign effectiveness - response rate, lead progression and program roi analysis
Pipeline contribution and overall business performance
Regional OKR level reporting
Identify discrepancies/issues on Global dashboard and work with S&S(central analytics) to resolve
Manage data analytics requests from regional field team
Manage data quality in budget request sandbox",3.6,Digital Alchemy,Sydney,201 to 500 Employees,2003,Company - Private,Advertising & Marketing,Business Service,Unknown / Non-Applicable
Data Scientist,$90K - $103K (Glassdoor Est.),"Data Scientist – Applied Intelligence
Harness the power of data and artificial intelligence to accelerate change.
Join our Applied Intelligence team and create innovative, forward thinking and life changing solutions using cutting-edge technologies. We are changing the world fast, come with us.
Your role: Data Scientist
You will advise on and lead AI applications for our existing and prospective clients and deliver value. This will be primarily focused on virtual agent work but will differ pending on client needs.",3.8,Accenture,Sydney,10000+ Employees,1989,Company - Public,Consulting,Business Service,$10+ billion (USD)
Data Scientist/BI Analyst,-1,"The position
This unique role is designed to help WVA to discover, interpret and communicate the information hidden in structured and unstructured data sets. The Data Scientist/BI Analyst will be mining, interpreting and cleaning WVA data, as well as answering questions, connecting dots and uncovering opportunities that lie hidden within data – all with the ultimate goal of developing impactful reports and dashboards.
Your role plays an integral part in the organisation, enabling us to support our mission of empowering Australians to create meaningful change for the world’s most vulnerable children and adults.
Your areas of responsibility will include:",4.1,World Vision Australia,New South Wales,10000+ Employees,1950,Company - Private,Social Services,Non-Profit,$2 to $5 billion (USD)
Graduate Data Scientist,-1,"Graduate Data Scientist
VGW is a fast-growing technology company and creator of market-leading online social games. With offices across Australia, San Francisco, Toronto, Malta and the Philippines we are on a mission to* be the biggest gaming company in the world!*
Due to hyper growth we are expanding our Data Science team in Perth and currently looking for a Graduate Data Scientist to join the team.
In this role you will apply statistics, predictive modelling, machine learning and advanced analytics to drive business performance and growth. Your mission will be to work with stakeholders from multiple business units to understand pain points and objectives. You will drive projects that will help solve the right business problems and build fast-fail proof-of-concept data products to test new ideas.",-1,VGW,Perth,-1,-1,-1,-1,-1,-1
Machine Learning Data Scientist,-1,"Once in the team you will bring your machine learning expertise to bear on all aspects of the trade pipeline. You must have the ability to build models for high-frequency asset price prediction, to analyse the resulting trades, and to build models for better understanding of latency implications, etc. You must be able to explain clearly your ideas and results to the rest of the team.

In the role you will:

Contribute techniques from machine learning towards improved automated trading systems.
Work with traders, quants, software developers in a highly focused team building, deploying and improving automated trading systems.
Research, implement, test, deploy and monitor proprietary systems trading across multiple markets and financial products. We work at all levels of the problem domain from market data handlers through trade monitoring.",4.1,Susquehanna International Group,Sydney,1001 to 5000 Employees,1987,Company - Private,Stock Exchange,Finance,Unknown / Non-Applicable
